gx,gy,gz,ax,ay,az,time,gesture_type,timestamp
0.190072849,0.054447014,0.203471541,-0.066039935,0.812853336,1.034011126,34:34.0,tv-poke-04,148.1
0.62452507,0.154266536,0.485447854,0.0236184,0.858082354,1.016316175,34:34.0,tv-poke-04,148.15
0.258754641,-0.459169805,-0.025634211,0.028663114,0.798776925,0.912443876,34:34.1,tv-poke-04,148.2
-0.054306529,-0.785851896,0.637650967,0.027745893,0.491634905,0.812708199,34:34.1,tv-poke-04,148.25
-0.12937732,-0.635215163,-0.342857569,0.106168278,-0.069343522,0.863265455,34:34.2,tv-poke-04,148.3
-1.081338763,-0.194194347,-0.174633056,-0.029351104,-0.381331533,1.008502722,34:34.2,tv-poke-04,148.35
-1.081338763,-0.194194347,-0.174633056,-0.029351104,-0.381331533,1.008502722,34:34.3,tv-poke-04,148.4
-1.009462476,-0.431946307,0.416555911,-0.045631774,-0.433021843,1.047569752,34:34.3,tv-poke-04,148.45
-0.313061148,-0.065336414,0.020827796,-0.008713635,-0.418714702,1.087326169,34:34.4,tv-poke-04,148.5
0.453619242,0.049002312,0.136181742,0.05617974,-0.414330274,1.026657343,34:34.4,tv-poke-04,148.55
0.424868703,0.117968529,0.331642598,0.082091227,-0.39748475,1.003447056,34:34.5,tv-poke-04,148.6
0.56063503,0.174230441,0.306008399,0.153863758,-0.338410109,0.977708757,34:34.5,tv-poke-04,148.65
0.602163553,0.176045343,0.238718584,0.148589745,-0.328948945,0.982075036,34:34.6,tv-poke-04,148.7
0.570218563,-0.087115221,0.158611685,0.06374681,-0.144571409,0.857750118,34:34.6,tv-poke-04,148.75
0.314658403,0.653364182,-0.019225657,0.097454675,0.127033532,0.963460803,34:34.7,tv-poke-04,148.8
0.380145699,-0.279494673,-0.387717426,-0.122678325,0.222568318,0.965299249,34:34.7,tv-poke-04,148.85
-0.017569758,0.658808827,-0.339653283,-0.132538453,0.457020849,0.963690579,34:34.8,tv-poke-04,148.9
-0.12937732,0.515431702,-0.302804112,-0.038981922,0.784700572,0.982075036,34:34.8,tv-poke-04,148.95
-0.12937732,0.515431702,-0.302804112,-0.038981922,0.784700572,0.982075036,34:34.9,tv-poke-04,149
-0.049514774,0.183304951,-0.17943947,-0.075900063,0.71547246,0.979087591,34:34.9,tv-poke-04,149.05
1.189951897,0.448280394,0.306008399,-0.011235992,0.374870151,1.070090652,34:35.0,tv-poke-04,149.1
0,0,0,0,0,0,34:35.5,tv-poke-04,149.15
0,0,0,0,0,0,34:35.5,tv-poke-04,149.2
0,0,0,0,0,0,34:35.5,tv-poke-04,149.25
0,0,0,0,0,0,34:35.5,tv-poke-04,149.3
0,0,0,0,0,0,34:35.5,tv-poke-04,149.35
0,0,0,0,0,0,34:35.5,tv-poke-04,149.4
0,0,0,0,0,0,34:35.5,tv-poke-04,149.45
0,0,0,0,0,0,34:35.5,tv-poke-04,149.5
0,0,0,0,0,0,34:35.5,tv-poke-04,149.55
0,0,0,0,0,0,34:35.5,tv-poke-04,149.6
0,0,0,0,0,0,34:35.5,tv-poke-04,149.65
0,0,0,0,0,0,34:35.5,tv-poke-04,149.7
0,0,0,0,0,0,34:35.5,tv-poke-04,149.75
0,0,0,0,0,0,34:35.5,tv-poke-04,149.8
